id;nom_complete;adresse;email;numero_tel
1;Nakfa Usability back-end;magenta quantifying convergence;Lauriane.Johnson75@gmail.com;SQL 3rd generation
2;e-business;Automotive;Wava_Ward@hotmail.com;navigating Hong Kong Home
3;hybrid Reverse-engineered hack;mindshare Infrastructure;Mohammad28@yahoo.com;Liaison Bedfordshire
4;Rhode Island Ergonomic Wooden Sausages;Turkmenistan Checking Account Hollow;Maiya.Trantow@hotmail.com;Branding
5;Incredible Checking Account;Data orchestrate;Dahlia55@hotmail.com;Advanced
6;Frozen panel;channels Handcrafted;Mackenzie.Friesen@gmail.com;Multi-channelled
7;Investor deposit Angola;Personal Loan Account;Celestino.Huel@yahoo.com;open-source Self-enabling
8;harness Executive;Cotton static;Shania.Greenfelder@hotmail.com;pink Lek
9;functionalities Customizable;granular Granite;Shayne24@yahoo.com;technologies best-of-breed
10;Bedfordshire;knowledge base Awesome;Eldred.Gottlieb@yahoo.com;Ergonomic Steel Fish action-items
