id;prenom;code_fonction;description
1;Communications;China Beauty;enterprise
2;Lari;array bus invoice;Representative Soft digital
3;Trail invoice Handcrafted;Mauritania;Open-source
4;sticky Credit Card Account protocol;Arizona Route;District
5;Djibouti Franc Horizontal;Soft Sports model;virtual vortals
6;Wall;Dynamic;black
7;Metal Orchestrator;Licensed Plastic Keyboard invoice;parse
8;incubate;Unbranded Investment Account;invoice gold
9;grid-enabled FTP;alliance copying;violet deposit
10;CSS scalable;ROI Delaware;Metal strategy
